"nct_id","phase","overall_status","start_year","country_name","is_uk"
NCT05185843,PHASE3,ACTIVE_NOT_RECRUITING,2022,Sweden,false
NCT05185843,PHASE3,ACTIVE_NOT_RECRUITING,2022,United States,false
NCT05186012,PHASE1/PHASE2,UNKNOWN,2022,China,false
NCT05186051,PHASE2,COMPLETED,2022,Australia,false
NCT05186285,PHASE1,COMPLETED,2021,China,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Australia,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Belgium,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Canada,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Czechia,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,France,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Germany,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Ireland,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Italy,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Netherlands,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Norway,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Poland,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Spain,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,Switzerland,false
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,United Kingdom,true
NCT05186753,PHASE2,ACTIVE_NOT_RECRUITING,2022,United States,false
NCT05186805,PHASE2,COMPLETED,2021,Canada,false
NCT05186805,PHASE2,COMPLETED,2021,United States,false
NCT05186818,PHASE3,COMPLETED,2022,China,false
NCT05186818,PHASE3,COMPLETED,2022,Czechia,false
NCT05186818,PHASE3,COMPLETED,2022,Denmark,false
NCT05186818,PHASE3,COMPLETED,2022,France,false
NCT05186818,PHASE3,COMPLETED,2022,Germany,false
NCT05186818,PHASE3,COMPLETED,2022,Hungary,false
NCT05186818,PHASE3,COMPLETED,2022,Israel,false
NCT05186818,PHASE3,COMPLETED,2022,Italy,false
NCT05186818,PHASE3,COMPLETED,2022,Netherlands,false
NCT05186818,PHASE3,COMPLETED,2022,Poland,false
